,,city,color,country,located_in,movie,movie_category,user,university
0,5000,0.27560901641845703,0.0462336540222168,0.11062312126159668,0.2447967529296875,0.0905768871307373,0.08413314819335938,3.844618082046509,0.1407604217529297
0,10000,0.3164496421813965,0.04219484329223633,0.0529789924621582,0.3198878765106201,0.12831544876098633,0.0462191104888916,7.857659816741943,0.2249917984008789
0,25000,0.3397095203399658,0.06052064895629883,0.05989480018615723,0.3196573257446289,0.14773273468017578,0.06738972663879395,19.422255992889404,0.25348997116088867
0,50000,0.34819531440734863,0.05014920234680176,0.05602216720581055,0.3589160442352295,0.12712836265563965,0.05732131004333496,40.275960206985474,0.23377394676208496
0,100000,0.3580780029296875,0.06726217269897461,0.051097869873046875,0.359727144241333,0.16354846954345703,0.04990887641906738,79.38154029846191,0.24786734580993652
1,5000,0.2731773853302002,0.06480836868286133,0.061334848403930664,0.23488330841064453,0.1487138271331787,0.05363631248474121,3.7339911460876465,0.1702127456665039
1,10000,0.2967195510864258,0.05452752113342285,0.055108070373535156,0.27027392387390137,0.1326453685760498,0.05184030532836914,7.95636248588562,0.18883514404296875
1,25000,0.3421900272369385,0.06265950202941895,0.06382632255554199,0.30464720726013184,0.13637566566467285,0.0662078857421875,20.02035927772522,0.25475096702575684
1,50000,0.33403587341308594,0.045851945877075195,0.05344104766845703,0.3140406608581543,0.32553648948669434,0.06738948822021484,39.89544105529785,0.2536284923553467
1,100000,0.360231876373291,0.05208873748779297,0.06423234939575195,0.38056111335754395,0.157149076461792,0.06101703643798828,78.04940605163574,0.25240254402160645
2,5000,0.264803409576416,0.05945563316345215,0.0635836124420166,0.24242424964904785,0.15845203399658203,0.051491737365722656,3.8967878818511963,0.1657569408416748
2,10000,0.32486629486083984,0.054108619689941406,0.04935932159423828,0.31831789016723633,0.15436482429504395,0.055593252182006836,7.892103672027588,0.22230744361877441
2,25000,0.35185813903808594,0.06568646430969238,0.055207014083862305,0.331282377243042,0.17754006385803223,0.0030655860900878906,19.536688089370728,0.27762579917907715
2,50000,0.3589510917663574,0.06670856475830078,0.048394203186035156,0.3267500400543213,0.22193527221679688,0.061202287673950195,39.272337198257446,0.26166844367980957
2,100000,0.340364933013916,0.046912431716918945,0.06716251373291016,0.3326880931854248,0.14834141731262207,0.04456520080566406,79.43531727790833,0.23834824562072754
3,5000,0.2804422378540039,0.05759119987487793,0.07297205924987793,0.24519562721252441,0.16570162773132324,0.05410170555114746,4.019087314605713,0.17532944679260254
3,10000,0.30235934257507324,0.050084590911865234,0.06026506423950195,0.2778933048248291,0.28978538513183594,0.0010290145874023438,7.860324859619141,0.1789398193359375
3,25000,0.3121781349182129,0.05011701583862305,0.049217939376831055,0.35280609130859375,0.14542818069458008,0.05504488945007324,19.614989280700684,0.24214553833007812
3,50000,0.3433382511138916,0.0702371597290039,0.054073333740234375,0.3048286437988281,0.14591002464294434,0.05157351493835449,39.385592222213745,0.21313166618347168
3,100000,0.3312218189239502,0.06223487854003906,0.057005882263183594,0.8962762355804443,0.15638303756713867,0.06517577171325684,78.30935525894165,0.2436072826385498
4,5000,0.23316526412963867,0.05078411102294922,0.058315277099609375,0.25421738624572754,0.13388681411743164,0.04585695266723633,3.9686121940612793,0.2174522876739502
4,10000,0.3056614398956299,0.06842899322509766,0.04991292953491211,0.30074238777160645,0.14254403114318848,0.043834686279296875,7.784221172332764,0.20230698585510254
4,25000,0.3888528347015381,0.07125616073608398,0.04429125785827637,0.32161474227905273,0.12852096557617188,0.05354046821594238,19.446027517318726,0.2803070545196533
4,50000,0.3188159465789795,0.05081582069396973,0.05546212196350098,0.3731849193572998,0.13702869415283203,0.06119132041931152,38.38232088088989,0.25182080268859863
4,100000,0.39269185066223145,0.05150318145751953,0.056668758392333984,0.3134806156158447,0.13121700286865234,0.05272245407104492,77.77031207084656,0.26088976860046387
5,5000,0.26749491691589355,0.0625007152557373,0.06538844108581543,0.24583721160888672,0.15927457809448242,0.05210471153259277,4.026078224182129,0.19362711906433105
5,10000,0.3128526210784912,0.06592464447021484,0.05973482131958008,0.29727888107299805,0.13913893699645996,0.051229238510131836,7.791466236114502,0.17980599403381348
5,25000,0.37351036071777344,0.056882381439208984,0.06213068962097168,0.31005215644836426,0.12445068359375,0.06488394737243652,19.419039964675903,0.28260040283203125
5,50000,0.2982208728790283,0.0502471923828125,0.06253767013549805,0.331043004989624,0.1377098560333252,0.06242632865905762,38.869141817092896,0.22820806503295898
5,100000,0.3875241279602051,0.05448436737060547,0.04461479187011719,0.3151252269744873,0.15949153900146484,0.051073312759399414,77.97720694541931,0.27839136123657227
6,5000,0.28081321716308594,0.051914215087890625,0.0512690544128418,0.24692320823669434,0.1362297534942627,0.06073117256164551,4.008860349655151,0.1486501693725586
6,10000,0.3097422122955322,0.06108713150024414,0.04662156105041504,0.26987671852111816,0.1511831283569336,0.06939077377319336,7.802396059036255,0.1938495635986328
6,25000,0.3710463047027588,0.009736299514770508,0.05627083778381348,0.3378455638885498,0.1512441635131836,0.09188580513000488,19.824219226837158,0.2520022392272949
6,50000,0.3037383556365967,0.049814462661743164,0.04979825019836426,0.32083678245544434,0.13767147064208984,0.05115151405334473,38.90107870101929,0.238814115524292
6,100000,0.360109806060791,0.04649615287780762,0.05142831802368164,0.34697413444519043,0.1671459674835205,0.044948577880859375,81.39829659461975,0.2614130973815918
7,5000,0.5154228210449219,0.05293107032775879,0.011228799819946289,0.2543776035308838,0.13967204093933105,0.042146921157836914,3.931339740753174,0.1639242172241211
7,10000,0.3338019847869873,0.05666327476501465,0.06834769248962402,0.29169130325317383,0.141953706741333,0.06346440315246582,7.962864875793457,0.21378159523010254
7,25000,0.3608255386352539,0.06730055809020996,0.05726742744445801,0.32364749908447266,0.12837862968444824,0.045401811599731445,19.561668872833252,0.26325368881225586
7,50000,0.39351963996887207,0.17853403091430664,0.05168867111206055,0.3176887035369873,0.13309574127197266,0.05926513671875,38.91101574897766,0.2486715316772461
7,100000,0.379422664642334,0.0607757568359375,0.06774759292602539,0.3214294910430908,0.15374231338500977,0.05498170852661133,78.1412456035614,0.2574920654296875
8,5000,0.30637669563293457,0.06423807144165039,0.04919791221618652,0.24974608421325684,0.1472165584564209,0.04845166206359863,4.116793632507324,0.19498944282531738
8,10000,0.33013248443603516,0.07619524002075195,0.059201955795288086,0.3210906982421875,0.13297533988952637,0.04239010810852051,7.8360724449157715,0.18326163291931152
8,25000,0.3550279140472412,0.05405616760253906,0.03731584548950195,0.36005687713623047,0.1323108673095703,0.0723114013671875,19.697147607803345,0.2529478073120117
8,50000,0.3206925392150879,0.0518951416015625,0.04764962196350098,0.31534481048583984,0.13112473487854004,0.055300235748291016,39.19304060935974,0.2294151782989502
8,100000,0.37557482719421387,0.07829523086547852,0.07094740867614746,0.32715415954589844,0.1518857479095459,0.054168701171875,79.02478337287903,0.2599492073059082
9,5000,0.28515076637268066,0.06706118583679199,0.04893326759338379,0.244614839553833,0.15848374366760254,0.045526742935180664,4.068371534347534,0.14163470268249512
9,10000,0.28174281120300293,0.046386003494262695,0.07101631164550781,0.3504338264465332,0.12391495704650879,0.054886817932128906,7.963258266448975,0.20943498611450195
9,25000,0.35429835319519043,0.06335639953613281,0.05127382278442383,0.29178714752197266,0.15106487274169922,0.07359957695007324,19.7367160320282,0.28800153732299805
9,50000,0.29790568351745605,0.05105185508728027,0.05218839645385742,0.3169100284576416,0.13805270195007324,0.0510869026184082,39.330915451049805,0.4876248836517334
9,100000,0.31104278564453125,0.0456385612487793,0.05143165588378906,0.34302687644958496,0.12949895858764648,0.046773433685302734,79.59466004371643,0.2278280258178711
